HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,Referee
Man_United,Luton,1,0,H,15,10,G Scott
Bournemouth,Newcastle,2,0,H,19,8,C Kavanagh
Aston_Villa,Fulham,3,1,H,12,9,S Hooper
Brighton,Sheffield_United,1,1,D,11,9,J Brooks
Liverpool,Brentford,3,0,H,17,16,P Tierney
West_Ham,Nottingham_Forest,3,2,H,16,10,M Salisbury
Chelsea,Man_City,4,4,D,17,15,A Taylor
Man_City,Liverpool,1,1,D,16,8,C Kavanagh
Burnley,West_Ham,1,2,A,11,11,S Barrott
Luton,Crystal_Palace,2,1,H,8,16,J Gillett
Newcastle,Chelsea,4,1,H,14,7,S Hooper
Nottingham_Forest,Brighton,2,3,A,18,11,A Taylor
Sheffield_United,Bournemouth,1,3,A,10,23,A Madley
Brentford,Arsenal,0,1,A,9,15,T Robinson
Tottenham,Aston_Villa,1,2,A,18,15,R Jones
Everton,Man_United,0,3,A,24,9,J Brooks
Fulham,Wolves,3,2,H,12,10,M Salisbury
Arsenal,Wolves,2,1,H,19,6,P Bankes
Brentford,Luton,3,1,H,27,7,A Taylor
Burnley,Sheffield_United,5,0,H,19,6,C Kavanagh
Nottingham_Forest,Everton,0,1,A,13,12,P Tierney
Newcastle,Man_United,1,0,H,22,8,R Jones
Bournemouth,Aston_Villa,2,2,D,15,11,T Bramall
Chelsea,Brighton,3,2,H,8,18,C Pawson
Liverpool,Fulham,4,3,H,26,9,S Attwell
West_Ham,Crystal_Palace,1,1,D,9,9,M Oliver
Man_City,Tottenham,3,3,D,18,8,S Hooper
Wolves,Burnley,1,0,H,7,12,J Gillett
Luton,Arsenal,3,4,A,6,23,S Barrott
Brighton,Brentford,2,1,H,18,8,P Bankes
Crystal_Palace,Bournemouth,0,2,A,16,11,C Pawson
Fulham,Nottingham_Forest,5,0,H,14,4,J Smith
Sheffield_United,Liverpool,0,2,A,6,15,S Hooper
Aston_Villa,Man_City,1,0,H,22,2,J Brooks
Man_United,Chelsea,2,1,H,28,13,C Kavanagh
Everton,Newcastle,3,0,H,21,13,T Robinson
Tottenham,West_Ham,1,2,A,23,11,M Salisbury
Crystal_Palace,Liverpool,1,2,A,8,14,A Madley
Brighton,Burnley,1,1,D,29,6,S Hooper
Man_United,Bournemouth,0,3,A,20,10,P Bankes
Sheffield_United,Brentford,1,0,H,9,10,S Attwell
Wolves,Nottingham_Forest,1,1,D,10,8,S Barrott
Aston_Villa,Arsenal,1,0,H,10,12,J Gillett
Everton,Chelsea,2,0,H,9,16,M Oliver
Fulham,West_Ham,5,0,H,14,9,P Tierney
Luton,Man_City,1,2,A,4,18,T Robinson
Tottenham,Newcastle,4,1,H,23,9,C Kavanagh
Nottingham_Forest,Tottenham,0,2,A,15,12,J Gillett
Chelsea,Sheffield_United,2,0,H,15,6,A Madley
Man_City,Crystal_Palace,2,2,D,19,5,P Tierney
Newcastle,Fulham,3,0,H,27,6,S Barrott
Burnley,Everton,0,2,A,14,9,A Taylor
Arsenal,Brighton,2,0,H,26,6,T Robinson
Brentford,Aston_Villa,1,2,A,4,15,D Coote
West_Ham,Wolves,3,0,H,13,14,C Kavanagh
Liverpool,Man_United,0,0,D,34,6,M Oliver
Crystal_Palace,Brighton,1,1,D,11,18,J Brooks
Aston_Villa,Sheffield_United,1,1,D,12,5,A Taylor
West_Ham,Man_United,2,0,H,12,11,S Hooper
Fulham,Burnley,0,2,A,19,7,R Welch
Luton,Newcastle,1,0,H,16,15,D England
Nottingham_Forest,Bournemouth,2,3,A,11,18,R Jones
Tottenham,Everton,2,1,H,13,18,S Attwell
Liverpool,Arsenal,1,1,D,13,13,C Kavanagh
Wolves,Chelsea,2,1,H,14,16,D Coote
Newcastle,Nottingham_Forest,1,3,A,19,15,C Kavanagh
Bournemouth,Fulham,3,0,H,16,8,T Robinson
